,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
0,7646752,55618,3738994,North-State Telephone Co.,North-State Telephone Co.,"May, Bott et al.",130986,"May, Bott et al.",OR,410659708001300,50,1,500.0,250.0,0
1,30668662,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",WA,530139602003022,11,1,20.0,1.5,1
2,47595710,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",FL,120850018011056,60,1,2.0,1.3,1
3,22460695,57073,27353192,Orange County REMC,Orange County REMC,Orange County REMC,400105,Orange County REMC,IN,180259519001066,70,1,8.0,4.0,1
4,10848687,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",GA,131850102026007,60,1,100.0,3.0,1
5,55315321,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MI,260992561004002,60,1,2.0,1.3,1
6,1392151,54480,3473709,AT&T Mobility Puerto Rico Inc.,Centennial,AT&T Inc.,130077,AT&T Inc.,PR,721130714021007,70,0,0.0,0.0,1
7,5331492,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",NC,371470005021021,70,1,2.0,0.064,0
8,29129213,58768,9572884,"Commnet Four Corners, LLC",Choice Splash,"ATN International, Inc.",130081,"ATN International, Inc.",AZ,40050023002253,70,1,9.0,2.0,1
9,14434264,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",NC,371150102001082,60,1,100.0,3.0,1
10,45209603,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",CA,60552010032003,60,1,2.0,1.3,1
11,46633870,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,FL,120710101021017,60,0,0.0,0.0,1
12,10214736,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",FL,120110704013015,60,1,35.0,3.0,1
13,51351889,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,IA,191630104014008,60,0,0.0,0.0,1
14,31566555,59149,3806668,"Telepak Networks, Inc.",Telepak Networks Inc,"Telapex, Inc.",131302,"Telapex, Inc.",AL,10970026003035,50,0,0.0,0.0,1
15,63710190,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",OK,401350302022307,60,1,25.0,3.0,1
16,23219698,57292,7566961,"TRANSWORLD NETWORK, CORP",TRANSWORLD NETWORK CORP,"PCC Holdings, Inc.",131016,"PCC Holdings, Inc.",TX,484459501001003,70,1,15.0,2.0,1
17,20459758,56528,16979411,"Future Wireless Technologies of Nebraska, Inc",Future Technologies,Future Technologies,290050,Future Technologies,IA,191659602003145,70,1,25.0,5.0,1
18,35907618,63345,1731470,"Puerto Rico Telephone Company, Inc.",PRT_CLARO,América Móvil,170001,América Móvil,PR,720399559001032,11,1,16.0,1.0,1
19,16794180,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",PA,420792006002003,60,1,100.0,3.0,1
20,30670221,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",WA,530150018002094,12,1,60.0,5.0,1
21,23129140,57292,7566961,"TRANSWORLD NETWORK, CORP",TRANSWORLD NETWORK CORP,"PCC Holdings, Inc.",131016,"PCC Holdings, Inc.",NM,350010037361004,70,1,10.0,5.0,1
