,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
943,11453987,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",IL,170318248001056,60,1,35.0,3.0,1
944,29147339,58768,9572884,"Commnet Four Corners, LLC",Choice Splash,"ATN International, Inc.",130081,"ATN International, Inc.",NM,350559527002243,70,1,9.0,2.0,1
945,68932523,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,484219502001197,60,1,25.0,3.0,1
946,54310682,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MA,250138112003016,60,1,25.0,3.0,1
947,71621866,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",WA,530330253013052,60,1,2.0,1.3,1
948,22636806,57146,10910446,"BelWave Communications, Inc.",BelWave Communications,"BelWave Communications, Inc.",300017,"BelWave Communications, Inc.",TX,481130088025011,70,0,0.0,0.0,1
949,51996544,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,KS,201719571003045,60,0,0.0,0.0,1
950,48583913,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",GA,132699501001009,60,1,2.0,1.3,1
951,4597377,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",IA,190279601001017,70,1,2.0,0.064,0
952,11453708,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",IL,170318246023007,60,1,35.0,3.0,1
953,2983826,55027,6254403,Crown Castle Fiber LLC,Crown Castle Fiber,Crown Castle International Corp.,400092,Crown Castle International Corp.,FL,120110509005012,50,0,0.0,0.0,1
954,72980865,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",WY,560430003022005,60,1,25.0,3.0,1
955,832824,54208,14531073,"Allied Telecom Group, LLC",Allied Telecom Group LLC,"Allied Telecom Group, LLC",220005,"Allied Telecom Group, LLC",DC,110010056003004,30,0,0.0,0.0,1
956,13826327,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MO,291414704002096,60,1,100.0,3.0,1
957,4776490,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",IA,191930001001075,70,1,2.0,0.064,0
958,37729321,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Florida,AT&T Inc.,130077,AT&T Inc.,FL,120990076181023,12,1,100.0,20.0,0
959,58033202,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MT,301119400005169,60,1,2.0,1.3,1
960,39165065,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60372944101010,12,1,100.0,20.0,0
961,14680836,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",ND,381010110001370,60,1,35.0,3.0,1
962,60282978,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NY,361190070002008,60,0,0.0,0.0,1
963,67182573,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,470619552003079,60,1,2.0,1.3,1
964,51231222,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,IA,190470705002020,60,0,0.0,0.0,1
965,3061513,55027,6254403,Crown Castle Fiber LLC,Crown Castle Fiber,Crown Castle International Corp.,400092,Crown Castle International Corp.,MA,250277552001026,50,0,0.0,0.0,1
966,30364668,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",OH,390030136001031,12,1,3.0,0.512,1
967,66253589,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",SC,450190037002003,60,1,2.0,1.3,1
968,46324994,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",CT,90034974004007,60,1,2.0,1.3,1
969,57326333,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MO,295101141022029,60,1,25.0,3.0,1
970,51919000,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,KS,200999505003329,60,0,0.0,0.0,1
971,837771,54219,3774494,Wittenberg Telephone Company,"Wittenberg Telephone Company, Inc.",Wittenberg Telephone Company,130919,Wittenberg Telephone Company,WI,551151008004105,11,1,5.0,1.0,1
972,31534851,59148,17535386,"VTX Communications, LLC",VTXC,"Valley Telephone Cooperative, Inc. (TX)",340001,"Valley Telephone Cooperative, Inc. (TX)",TX,481872106043064,70,1,25.0,3.0,1
973,3821072,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",OK,400198921002146,70,1,2.0,0.064,0
974,27289645,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,NY,361059512002012,50,0,0.0,0.0,1
975,3887671,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",OK,400770871001188,70,1,2.0,0.064,0
976,40981025,67058,3801651,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AT&T Inc.,130077,AT&T Inc.,TX,484391104025012,50,1,1000.0,1000.0,0
